learner,benchmark,protocol,prefix_fraction,probe_count,intervention_cost,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,n_runs,confusion_matrix,feature_names,recall_neither,recall_reward,recall_observation,recall_both
tabular,factorial,random,0.05,0,0.0,0.25,0.05,0.4,0.24431818181818182,0.05,0.3628593628593628,20,"[[2, 1, 0, 2], [2, 1, 1, 1], [1, 0, 2, 2], [1, 1, 3, 0]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",0.4,0.2,0.4,0.0
tabular,factorial,reward_curve,0.05,0,0.0,0.25,0.1,0.4,0.225,0.1125,0.32291666666666663,20,"[[0, 3, 2, 0], [3, 2, 0, 0], [2, 0, 3, 0], [3, 0, 2, 0]]","[""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std""]",0.0,0.4,0.6,0.0
tabular,factorial,training_statistics,0.05,0,0.0,0.35000000000000003,0.1,0.6,0.35,0.08333333333333333,0.5875,20,"[[2, 3, 0, 0], [4, 1, 0, 0], [0, 0, 2, 3], [1, 0, 2, 2]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",0.4,0.2,0.4,0.4
tabular,factorial,state,0.05,4,20.0,1.0,1.0,1.0,1.0,1.0,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,1.0
tabular,factorial,state,0.05,8,40.0,1.0,1.0,1.0,1.0,1.0,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,1.0
tabular,factorial,state,0.05,16,80.0,1.0,1.0,1.0,1.0,1.0,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,1.0
tabular,factorial,state,0.05,32,160.0,1.0,1.0,1.0,1.0,1.0,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,1.0
tabular,factorial,state,0.05,64,320.0,1.0,1.0,1.0,1.0,1.0,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,1.0
tabular,factorial,reward,0.05,4,20.0,0.7999999999999999,0.65,0.95,0.7846597846597847,0.5625,0.9494949494949495,20,"[[5, 0, 0, 0], [3, 2, 0, 0], [0, 0, 5, 0], [0, 0, 1, 4]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,0.4,1.0,0.8
tabular,factorial,reward,0.05,8,40.0,0.8999999999999999,0.7,1.0,0.898989898989899,0.6703296703296704,1.0,20,"[[5, 0, 0, 0], [1, 4, 0, 0], [0, 0, 5, 0], [0, 0, 1, 4]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,0.8,1.0,0.8
