run_id,benchmark,learner,seed,kind,probe_episode,observation,action,proxy_reward,intended_reward
run-f625b49130231099,factorial,tabular,0,reward,0,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,1,1,1,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,2,1,1,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,3,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,4,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,5,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,6,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,7,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,8,1,1,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,9,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,10,1,0,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,11,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,12,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,13,1,1,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,14,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,15,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,16,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,17,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,18,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,19,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,20,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,21,1,0,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,22,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,23,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,24,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,25,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,26,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,27,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,28,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,29,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,30,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,31,1,0,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,32,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,33,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,34,1,1,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,35,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,36,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,37,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,38,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,39,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,40,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,41,1,1,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,42,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,43,1,1,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,44,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,45,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,46,1,1,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,47,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,48,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,49,1,1,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,50,1,0,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,51,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,52,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,53,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,54,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,55,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,56,0,0,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,57,1,1,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,58,1,0,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,59,1,1,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,60,1,1,1.0,1.0
run-f625b49130231099,factorial,tabular,0,reward,61,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,62,0,1,0.0,0.0
run-f625b49130231099,factorial,tabular,0,reward,63,1,1,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,0,1,1,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,1,1,0,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,2,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,3,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,4,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,5,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,6,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,7,1,0,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,8,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,9,1,0,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,10,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,11,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,12,1,1,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,13,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,14,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,15,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,16,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,17,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,18,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,19,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,20,1,1,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,21,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,22,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,23,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,24,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,25,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,26,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,27,0,0,1.0,1.0
